Comunas,Barrios
2,RECOLETA
6,CABALLITO
10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL
11,VILLA DEL PARQUE - VILLA DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA
12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA
14,PALERMO
15,AGRONOMIA - CHACARITA - PARQUE CHAS - PATERNAL - VILLA CRESPO - VILLA ORTUZAR
13,BELGRANO - COLEGIALES - NUÑEZ
4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS
5,ALMAGRO - BOEDO
7,FLORES - PARQUE CHACABUCO
3,BALVANERA - SAN CRISTOBAL
9,LINIERS - MATADEROS - PARQUE AVELLANEDA
8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO
