id_hecho,N_VICTIMAS,FECHA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,longitud,latitud,VICTIMA,ACUSADO,HORA
2016-0001,1,1/1/2016,AVENIDA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,4
2016-0002,1,1/2/2016,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,1
2016-0003,1,1/3/2016,AVENIDA,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,7
2016-0004,1,1/10/2016,AVENIDA,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,AUTO,0
2016-0005,1,1/21/2016,AVENIDA,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,5
2016-0008,1,1/24/2016,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,18
2016-0009,1,1/24/2016,CALLE,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,19
2016-0010,1,1/29/2016,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,15
2016-0012,1,2/8/2016,AVENIDA,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,1
2016-0013,1,2/10/2016,AVENIDA,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,11
2016-0015,1,2/14/2016,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,5
2016-0016,1,2/14/2016,AVENIDA,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,22
2016-0017,1,2/15/2016,AVENIDA,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,16
2016-0019,1,2/17/2016,CALLE,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,9
2016-0020,1,2/17/2016,CALLE,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,16
2016-0021,1,2/17/2016,AVENIDA,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,23
2016-0022,1,2/21/2016,AVENIDA,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,6
2016-0025,1,2/28/2016,GRAL PAZ,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,4
2016-0026,1,2/28/2016,CALLE,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,7
2016-0027,1,2/28/2016,AVENIDA,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,9
2016-0028,1,3/2/2016,AVENIDA,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,10
2016-0029,1,3/4/2016,AVENIDA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,17
2016-0031,1,3/8/2016,GRAL PAZ,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS,12
2016-0034,1,3/12/2016,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON,PASAJEROS,12
2016-0035,1,3/13/2016,AVENIDA,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,6
2016-0036,1,3/14/2016,CALLE,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO,PASAJEROS,0
2016-0037,1,3/19/2016,AVENIDA,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO,MOTO,11
2016-0038,1,3/21/2016,GRAL PAZ,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON,PASAJEROS,8
2016-0039,1,3/23/2016,AVENIDA,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.6088396,MOTO,PASAJEROS,1
2016-0041,2,3/29/2016,AVENIDA,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4607655,-34.63350444,MOTO,CARGAS,11
2016-0043,1,3/30/2016,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON,CARGAS,18
2016-0044,1,3/31/2016,AVENIDA,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MOTO,MULTIPLE,19
2016-0045,1,4/11/2016,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,AUTO,10
2016-0047,1,4/15/2016,CALLE,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,5
2016-0048,1,4/15/2016,AVENIDA,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.5917024,PEATON,PASAJEROS,17
2016-0049,1,4/17/2016,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,MOTO,AUTO,0
2016-0050,1,4/19/2016,AVENIDA,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS,9
2016-0051,1,4/20/2016,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO,CARGAS,4
2016-0052,1,4/20/2016,AUTOPISTA,AUTOPISTA LUGONES PK 10000,13,,,MOTO,AUTO,20
2016-0053,1,4/22/2016,AVENIDA,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4842918,-34.57558053,PEATON,PASAJEROS,9
2016-0054,1,4/23/2016,AUTOPISTA,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO,21
2016-0055,1,4/25/2016,AVENIDA,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON,CARGAS,20
2016-0056,1,4/26/2016,AVENIDA,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,4
2016-0058,1,5/4/2016,CALLE,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,MOTO,14
2016-0059,1,5/8/2016,CALLE,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,16
2016-0064,1,5/14/2016,AVENIDA,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS,18
2016-0065,1,5/20/2016,AVENIDA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,AUTO,14
2016-0067,1,5/21/2016,AVENIDA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.6751276,MOTO,PASAJEROS,17
2016-0068,1,5/22/2016,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS,22
2016-0069,1,5/23/2016,AVENIDA,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS,3
2016-0073,1,6/11/2016,CALLE,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS,15
2016-0074,1,6/12/2016,GRAL PAZ,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO,6
2016-0075,1,6/12/2016,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO,23
2016-0076,1,6/13/2016,AVENIDA,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,16
2016-0077,1,6/13/2016,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON,PASAJEROS,21
2016-0078,1,6/13/2016,AVENIDA,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO,MOTO,23
2016-0079,1,6/16/2016,AVENIDA,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO,17
2016-0080,1,6/18/2016,GRAL PAZ,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,AUTO,6
2016-0081,1,6/22/2016,AVENIDA,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO,AUTO,7
2016-0082,1,6/27/2016,AVENIDA,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO,18
2016-0083,1,6/28/2016,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO,20
2016-0084,1,6/29/2016,CALLE,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS,22
2016-0085,1,6/29/2016,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.657341,MOTO,OTRO,22
2016-0086,1,6/30/2016,AVENIDA,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS,16
