ID,pos x,pos y
2016-0001,-58.47533969,-34.68757022
2016-0002,-58.50877521,-34.66977709
2016-0003,-58.39040293,-34.63189362
2016-0004,-58.46503904,-34.68092974
2016-0005,-58.38718297,-34.62246630
2016-0008,-58.44451316,-34.68475866
2016-0009,-58.50095869,-34.60825440
2016-0010,-58.50877521,-34.66977709
2016-0012,-58.38048577,-34.61303893
2016-0013,-58.39114932,-34.62477387
2016-0015,-58.43760020,-34.59912758
2016-0016,-58.36882665,-34.64291993
2016-0017,-58.44989671,-34.65970435
2016-0019,-58.50990884,-34.65468721
2016-0020,-58.37952223,-34.60653282
2016-0021,-58.45157703,-34.63063795
2016-0022,-58.38144696,-34.61079875
2016-0025,-58.46244952,-34.70524971
2016-0026,-58.49216191,-34.54738649
2016-0027,-58.44497874,-34.63852623
2016-0028,-58.38199706,-34.60028648
2016-0029,-58.47378664,-34.54153077
2016-0031,-58.47064556,-34.69843756
2016-0034,-58.40623949,-34.65076549
2016-0035,-58.39228965,-34.60443527
2016-0036,-58.37813396,-34.63668504
2016-0037,-58.46275892,-34.64358293
2016-0038,-58.49683458,-34.67892743
2016-0039,-58.40603217,-34.60883960
2016-0041,-58.46076550,-34.63350444
2016-0043,-58.47832463,-34.67494416
2016-0044,-58.43213235,-34.63693953
2016-0045,-58.46743471,-34.53476874
2016-0047,-58.38247061,-34.62571878
2016-0048,-58.44759966,-34.59170240
2016-0049,-58.37714647568196,-34.63657525428238
2016-0050,-58.47305463,-34.68550712
2016-0051,-58.40623949,-34.65076549
2016-0052,.,.
2016-0053,-58.48429180,-34.57558053
2016-0054,-58.48695354,-34.68795245
2016-0055,-58.40021959,-34.57964781
2016-0056,-58.42957885,-34.57660058
2016-0058,-58.38247542,-34.62556293
2016-0059,-58.38222219,-34.62728101
2016-0064,-58.49485242,-34.62953445
2016-0065,-58.45227946,-34.61068024
2016-0067,-58.48455411,-34.67512760
2016-0068,-58.39056593,-34.58418569
2016-0069,-58.39118948,-34.62704273
2016-0073,-58.49021952,-34.62025108
2016-0074,-58.49896559,-34.67732118
2016-0075,-58.47461076,-34.66874679
2016-0076,-58.46210891,-34.60356211
2016-0077,-58.37027770,-34.60536123
2016-0078,-58.40491455,-34.61463830
2016-0079,-58.45504154,-34.54864492
2016-0080,-58.52927982,-34.63931752
2016-0081,-58.48721060,-34.55904606
2016-0082,-58.42273092,-34.64228803
2016-0083,-58.44788671,-34.62539009
2016-0084,-58.38110563,-34.60135531
2016-0085,-58.42378834,-34.65734100
2016-0086,-58.48727942,-34.63652467
2016-0087,-58.37864583,-34.62907067
2016-0088,-58.50151750,-34.56767549
2016-0089,-58.43233425,-34.55185825
2016-0090,-58.41971993,-34.61112240
2016-0092,-58.46743471,-34.53476874
2016-0093,-58.44362126,-34.62301748
2016-0095,-58.51713095,-34.59546519
2016-0096,-58.47433193007387,-34.66684950051973
2016-0097,-58.39038605,-34.61562810
2016-0098,-58.40042405,-34.62356174
2016-0099,-58.52340614,-34.59798754
2016-0100,-58.49491054,-34.54795581
2016-0101,-58.52932872,-34.65014993
2016-0102,-58.50011639,-34.67316502
2016-0104,-58.46635001,-34.65624369
2016-0105,-58.45343236,-34.58435809
2016-0106,-58.38090932,-34.58927731
2016-0107,-58.37157668,-34.65429986
2016-0109,-58.52280139,-34.63659934
2016-0110,-58.51232237,-34.65903530
2016-0111,-58.47461905,-34.57663634
2016-0112,-58.38268809,-34.62282019
2016-0113,-58.49603546,-34.64564271
2016-0114,-58.41848605,-34.59394733
2016-0115,-58.48935041,-34.54917673
2016-0116,-58.44451316,-34.68475866
2016-0117,-58.39936478,-34.58271474
2016-0118,-58.37936704,-34.62694503
2016-0119,-58.49659234,-34.56353635
2016-0122,-58.47256391,-34.65194557
2016-0123,-58.45130953,-34.64053676
