id_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_DE_LA_SEMANA,semestre,ANIO,MES,DIA
2016-0001,2016-01-01,CONDUCTOR,MOTO,MASCULINO,19,1/1/2016,Viernes,1,2016,1,1
2016-0002,2016-01-02,CONDUCTOR,AUTO,MASCULINO,70,1/2/2016,Sábado,1,2016,1,2
2016-0003,2016-01-03,CONDUCTOR,MOTO,MASCULINO,30,1/3/2016,Domingo,1,2016,1,3
2016-0004,2016-01-10,CONDUCTOR,MOTO,MASCULINO,18,5,Domingo,1,2016,1,10
2016-0005,2016-01-21,CONDUCTOR,MOTO,MASCULINO,29,2/1/2016,Jueves,1,2016,1,21
2016-0008,2016-01-24,CONDUCTOR,MOTO,MASCULINO,30,1/24/2016,Domingo,1,2016,1,24
2016-0009,2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,1/26/2016,Domingo,1,2016,1,24
2016-0010,2016-01-29,CONDUCTOR,MOTO,MASCULINO,18,1/29/2016,Viernes,1,2016,1,29
2016-0012,2016-02-08,CONDUCTOR,MOTO,MASCULINO,22,2/8/2016,Lunes,1,2016,2,8
2016-0013,2016-02-10,PEATON,PEATON,MASCULINO,16,2/10/2016,Miércoles,1,2016,2,10
2016-0015,2016-02-14,PEATON,PEATON,FEMENINO,16,2/14/2016,Domingo,1,2016,2,14
2016-0016,2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,2/14/2016,Domingo,1,2016,2,14
2016-0017,2016-02-15,PEATON,PEATON,MASCULINO,59,2/16/2016,Lunes,1,2016,2,15
2016-0019,2016-02-17,PEATON,PEATON,FEMENINO,65,2/17/2016,Miércoles,1,2016,2,17
2016-0020,2016-02-17,PEATON,PEATON,MASCULINO,59,3/2/2016,Miércoles,1,2016,2,17
2016-0021,2016-02-17,CONDUCTOR,AUTO,MASCULINO,34,2/17/2016,Miércoles,1,2016,2,17
2016-0022,2016-02-21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41,5,Domingo,1,2016,2,21
2016-0025,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,2/28/2016,Domingo,1,2016,2,28
2016-0026,2016-02-28,CONDUCTOR,AUTO,MASCULINO,30,3/4/2016,Domingo,1,2016,2,28
2016-0027,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,5,Domingo,1,2016,2,28
2016-0028,2016-03-02,PEATON,PEATON,MASCULINO,50,3/2/2016,Miércoles,1,2016,3,2
2016-0029,2016-03-04,PEATON,PEATON,MASCULINO,38,3/4/2016,Viernes,1,2016,3,4
2016-0031,2016-03-08,CONDUCTOR,MOTO,MASCULINO,21,5,Martes,1,2016,3,8
2016-0034,2016-03-12,PEATON,PEATON,MASCULINO,52,3/12/2016,Sábado,1,2016,3,12
2016-0035,2016-03-13,CONDUCTOR,MOTO,MASCULINO,34,3/13/2016,Domingo,1,2016,3,13
2016-0036,2016-03-14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,3/14/2016,Lunes,1,2016,3,14
2016-0037,2016-03-19,CONDUCTOR,MOTO,MASCULINO,20,3/19/2016,Sábado,1,2016,3,19
2016-0038,2016-03-21,PEATON,PEATON,MASCULINO,29,3/21/2016,Lunes,1,2016,3,21
2016-0039,2016-03-23,CONDUCTOR,MOTO,MASCULINO,20,3/23/2016,Miércoles,1,2016,3,23
2016-0041,2016-03-29,CONDUCTOR,MOTO,MASCULINO,54,3/29/2016,Martes,1,2016,3,29
2016-0041,2016-03-29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,3/30/2016,Martes,1,2016,3,29
2016-0043,2016-03-30,PEATON,PEATON,FEMENINO,56,3/30/2016,Miércoles,1,2016,3,30
2016-0044,2016-03-31,CONDUCTOR,MOTO,MASCULINO,24,3/31/2016,Jueves,1,2016,3,31
2016-0045,2016-04-11,CONDUCTOR,MOTO,MASCULINO,30,5,Lunes,1,2016,4,11
2016-0047,2016-04-15,PEATON,PEATON,MASCULINO,41,4/15/2016,Viernes,1,2016,4,15
2016-0048,2016-04-15,PEATON,PEATON,FEMENINO,30,5,Viernes,1,2016,4,15
2016-0049,2016-04-17,CONDUCTOR,MOTO,MASCULINO,30,5,Domingo,1,2016,4,17
2016-0050,2016-04-19,PEATON,PEATON,MASCULINO,78,4/19/2016,Martes,1,2016,4,19
2016-0051,2016-04-20,CONDUCTOR,MOTO,MASCULINO,36,4/20/2016,Miércoles,1,2016,4,20
2016-0052,2016-04-20,CONDUCTOR,MOTO,MASCULINO,30,5,Miércoles,1,2016,4,20
2016-0053,2016-04-22,PEATON,PEATON,MASCULINO,38,4/22/2016,Viernes,1,2016,4,22
2016-0054,2016-04-23,CONDUCTOR,MOTO,MASCULINO,30,4/25/2016,Sábado,1,2016,4,23
2016-0055,2016-04-25,PEATON,PEATON,MASCULINO,79,4/28/2016,Lunes,1,2016,4,25
2016-0056,2016-04-26,CONDUCTOR,MOTO,MASCULINO,26,4/26/2016,Martes,1,2016,4,26
2016-0058,2016-05-04,PEATON,PEATON,FEMENINO,57,5/8/2016,Miércoles,1,2016,5,4
2016-0059,2016-05-08,PEATON,PEATON,MASCULINO,37,5/26/2016,Domingo,1,2016,5,8
2016-0064,2016-05-14,PEATON,PEATON,MASCULINO,20,5,Sábado,1,2016,5,14
2016-0065,2016-05-20,PEATON,PEATON,MASCULINO,20,5/20/2016,Viernes,1,2016,5,20
2016-0067,2016-05-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,5,Sábado,1,2016,5,21
2016-0068,2016-05-22,CONDUCTOR,MOTO,MASCULINO,58,5,Domingo,1,2016,5,22
2016-0069,2016-05-23,CONDUCTOR,AUTO,MASCULINO,30,5/23/2016,Lunes,1,2016,5,23
2016-0073,2016-06-11,CONDUCTOR,MOTO,MASCULINO,23,5,Sábado,1,2016,6,11
2016-0074,2016-06-12,CONDUCTOR,AUTO,MASCULINO,60,5,Domingo,1,2016,6,12
2016-0075,2016-06-12,PEATON,PEATON,MASCULINO,42,6/12/2016,Domingo,1,2016,6,12
